Pytanie|label|Odpowiedź
W jakim terminie muszę wykorzystać urlop okolicznościowy?|do kiedy urlop okolicznościowy|Urlop okolicznościowy nie musi być wykorzystany w dniu danej okoliczności, np. w dniu ślubu. Muszą to być jednak dni powiązane z danym wydarzeniem. W przypadku ślubu mogą to być dni potrzebne na przygotowania lub dni po ślubie potrzebne do załatwiania formalności w urzędach. Warto pamiętać, że dni urlopu okolicznościowego nie muszą być wykorzystywane razem, czyli jeden po drugim. Jednak muszą być powiązane z jedną konkretną okazją.
Do kiedy muszę wykorzystać urlop okolicznościowy?|do kiedy urlop okolicznościowy|Urlop okolicznościowy nie musi być wykorzystany w dniu danej okoliczności, np. w dniu ślubu. Muszą to być jednak dni powiązane z danym wydarzeniem. W przypadku ślubu mogą to być dni potrzebne na przygotowania lub dni po ślubie potrzebne do załatwiania formalności w urzędach. Warto pamiętać, że dni urlopu okolicznościowego nie muszą być wykorzystywane razem, czyli jeden po drugim. Jednak muszą być powiązane z jedną konkretną okazją.
Kiedy mogę wykorzystać urlop okolicznościowy?|do kiedy urlop okolicznościowy|Urlop okolicznościowy nie musi być wykorzystany w dniu danej okoliczności, np. w dniu ślubu. Muszą to być jednak dni powiązane z danym wydarzeniem. W przypadku ślubu mogą to być dni potrzebne na przygotowania lub dni po ślubie potrzebne do załatwiania formalności w urzędach. Warto pamiętać, że dni urlopu okolicznościowego nie muszą być wykorzystywane razem, czyli jeden po drugim. Jednak muszą być powiązane z jedną konkretną okazją.
Czy muszę wykorzystać urlop okolicznościowy w danej okoliczności?|do kiedy urlop okolicznościowy|Urlop okolicznościowy nie musi być wykorzystany w dniu danej okoliczności, np. w dniu ślubu. Muszą to być jednak dni powiązane z danym wydarzeniem. W przypadku ślubu mogą to być dni potrzebne na przygotowania lub dni po ślubie potrzebne do załatwiania formalności w urzędach. Warto pamiętać, że dni urlopu okolicznościowego nie muszą być wykorzystywane razem, czyli jeden po drugim. Jednak muszą być powiązane z jedną konkretną okazją.
Jaki jest okres wykorzystania urlopu okolicznościowego w przypadku danego zdarzenia?|do kiedy urlop okolicznościowy|Urlop okolicznościowy nie musi być wykorzystany w dniu danej okoliczności, np. w dniu ślubu. Muszą to być jednak dni powiązane z danym wydarzeniem. W przypadku ślubu mogą to być dni potrzebne na przygotowania lub dni po ślubie potrzebne do załatwiania formalności w urzędach. Warto pamiętać, że dni urlopu okolicznościowego nie muszą być wykorzystywane razem, czyli jeden po drugim. Jednak muszą być powiązane z jedną konkretną okazją.
Mam ślub, w których dniach mogę wykorzystać urlop okolicznościowy?|do kiedy urlop okolicznościowy|Urlop okolicznościowy nie musi być wykorzystany w dniu danej okoliczności, np. w dniu ślubu. Muszą to być jednak dni powiązane z danym wydarzeniem. W przypadku ślubu mogą to być dni potrzebne na przygotowania lub dni po ślubie potrzebne do załatwiania formalności w urzędach. Warto pamiętać, że dni urlopu okolicznościowego nie muszą być wykorzystywane razem, czyli jeden po drugim. Jednak muszą być powiązane z jedną konkretną okazją.
Czy istnieją jakieś konkretne dni, w których należy wykorzystać urlop okolicznościowy?|do kiedy urlop okolicznościowy|Urlop okolicznościowy nie musi być wykorzystany w dniu danej okoliczności, np. w dniu ślubu. Muszą to być jednak dni powiązane z danym wydarzeniem. W przypadku ślubu mogą to być dni potrzebne na przygotowania lub dni po ślubie potrzebne do załatwiania formalności w urzędach. Warto pamiętać, że dni urlopu okolicznościowego nie muszą być wykorzystywane razem, czyli jeden po drugim. Jednak muszą być powiązane z jedną konkretną okazją.
Do kiedy muszę wykorzystać urlop okolicznościowy?|do kiedy urlop okolicznościowy|Urlop okolicznościowy nie musi być wykorzystany w dniu danej okoliczności, np. w dniu ślubu. Muszą to być jednak dni powiązane z danym wydarzeniem. W przypadku ślubu mogą to być dni potrzebne na przygotowania lub dni po ślubie potrzebne do załatwiania formalności w urzędach. Warto pamiętać, że dni urlopu okolicznościowego nie muszą być wykorzystywane razem, czyli jeden po drugim. Jednak muszą być powiązane z jedną konkretną okazją.
Do kiedy mogę wykorzystać urlop wychowawczy?|do kiedy wychowawczy|Urlop udzielany jest na okres nie dłuższy niż do zakończenia roku kalendarzowego w którym dziecko kończy 6 rok życia.
Ile mam czasu na skorzystanie z wychowawczego?|do kiedy wychowawczy|Urlop udzielany jest na okres nie dłuższy niż do zakończenia roku kalendarzowego w którym dziecko kończy 6 rok życia.
Jak jest udzielany urlop wychowawczy?|do kiedy wychowawczy|Urlop udzielany jest na okres nie dłuższy niż do zakończenia roku kalendarzowego w którym dziecko kończy 6 rok życia.
do kiedy mogę skorzystać urlopu wychowawczego?|do kiedy wychowawczy|Urlop udzielany jest na okres nie dłuższy niż do zakończenia roku kalendarzowego w którym dziecko kończy 6 rok życia.
Ile mam czasu żeby pójść na urlop wychowawczy?|do kiedy wychowawczy|Urlop udzielany jest na okres nie dłuższy niż do zakończenia roku kalendarzowego w którym dziecko kończy 6 rok życia.
Do kiedy wypłacane jest wynagrodzenie?|do kiedy wypłata|Wynagrodzenie wypłacane jest 10.dnia miesiąca. Jeśli 10-ty wypada w dzień wolny od pracy, to wypłata zostanie zrealizowana w pierwszy dzień pracujący, poprzedzający tę datę.
kiedy będzie kasa?|do kiedy wypłata|Wynagrodzenie wypłacane jest 10.dnia miesiąca. Jeśli 10-ty wypada w dzień wolny od pracy, to wypłata zostanie zrealizowana w pierwszy dzień pracujący, poprzedzający tę datę.
Kiedy mogę spodziewać się wynagrodzenia?|do kiedy wypłata|Wynagrodzenie wypłacane jest 10.dnia miesiąca. Jeśli 10-ty wypada w dzień wolny od pracy, to wypłata zostanie zrealizowana w pierwszy dzień pracujący, poprzedzający tę datę.
Kiedy otrzymam wynagrodzenie?|do kiedy wypłata|Wynagrodzenie wypłacane jest 10.dnia miesiąca. Jeśli 10-ty wypada w dzień wolny od pracy, to wypłata zostanie zrealizowana w pierwszy dzień pracujący, poprzedzający tę datę.
Kiedy dostanę wypłatę? |do kiedy wypłata|Wynagrodzenie wypłacane jest 10.dnia miesiąca. Jeśli 10-ty wypada w dzień wolny od pracy, to wypłata zostanie zrealizowana w pierwszy dzień pracujący, poprzedzający tę datę.
Do kiedy przychodzą pieniądze? |do kiedy wypłata|Wynagrodzenie wypłacane jest 10.dnia miesiąca. Jeśli 10-ty wypada w dzień wolny od pracy, to wypłata zostanie zrealizowana w pierwszy dzień pracujący, poprzedzający tę datę.
Kiedy wypłata? |do kiedy wypłata|Wynagrodzenie wypłacane jest 10.dnia miesiąca. Jeśli 10-ty wypada w dzień wolny od pracy, to wypłata zostanie zrealizowana w pierwszy dzień pracujący, poprzedzający tę datę.
kiedy przyjdzie moja wypłata?|do kiedy wypłata|Wynagrodzenie wypłacane jest 10.dnia miesiąca. Jeśli 10-ty wypada w dzień wolny od pracy, to wypłata zostanie zrealizowana w pierwszy dzień pracujący, poprzedzający tę datę.
Kiedy dostanę przelew?|do kiedy wypłata|Wynagrodzenie wypłacane jest 10.dnia miesiąca. Jeśli 10-ty wypada w dzień wolny od pracy, to wypłata zostanie zrealizowana w pierwszy dzień pracujący, poprzedzający tę datę.
Do kiedy wypłata?|do kiedy wypłata|Wynagrodzenie wypłacane jest 10.dnia miesiąca. Jeśli 10-ty wypada w dzień wolny od pracy, to wypłata zostanie zrealizowana w pierwszy dzień pracujący, poprzedzający tę datę.
Do kiedy jest wypłata?|do kiedy wypłata|Wynagrodzenie wypłacane jest 10.dnia miesiąca. Jeśli 10-ty wypada w dzień wolny od pracy, to wypłata zostanie zrealizowana w pierwszy dzień pracujący, poprzedzający tę datę.
Do kogo wystąpić o urlop rodzicielski?|do kogo rodzicielski|Wniosek o urlop rodzicielski składasz do bezpośredniego Przełożonego. Bezpośredni Przełożony po akceptacji przesyła wniosek do działu Administracji Personalnej. Do wniosku o urlop rodzicielski należy dołączyć pisemne oświadczenie pracownika o braku zamiaru korzystania z urlopu przez okres wskazany we wniosku przez drugiego z rodziców dziecka. Do wniosku należy dołączyć akt urodzenia dziecka lub jego kopię.
kogo powiadomić starając się o urlop rodzicielski?|do kogo rodzicielski|Wniosek o urlop rodzicielski składasz do bezpośredniego Przełożonego. Bezpośredni Przełożony po akceptacji przesyła wniosek do działu Administracji Personalnej. Do wniosku o urlop rodzicielski należy dołączyć pisemne oświadczenie pracownika o braku zamiaru korzystania z urlopu przez okres wskazany we wniosku przez drugiego z rodziców dziecka. Do wniosku należy dołączyć akt urodzenia dziecka lub jego kopię.
Do kogo zgłosić urlop rodzicielski?|do kogo rodzicielski|Wniosek o urlop rodzicielski składasz do bezpośredniego Przełożonego. Bezpośredni Przełożony po akceptacji przesyła wniosek do działu Administracji Personalnej. Do wniosku o urlop rodzicielski należy dołączyć pisemne oświadczenie pracownika o braku zamiaru korzystania z urlopu przez okres wskazany we wniosku przez drugiego z rodziców dziecka. Do wniosku należy dołączyć akt urodzenia dziecka lub jego kopię.
Do kogo złożyć wniosek o urlop rodzicielski?|do kogo rodzicielski|Wniosek o urlop rodzicielski składasz do bezpośredniego Przełożonego. Bezpośredni Przełożony po akceptacji przesyła wniosek do działu Administracji Personalnej. Do wniosku o urlop rodzicielski należy dołączyć pisemne oświadczenie pracownika o braku zamiaru korzystania z urlopu przez okres wskazany we wniosku przez drugiego z rodziców dziecka. Do wniosku należy dołączyć akt urodzenia dziecka lub jego kopię.
Komu oddać podanie o rodzicielski?|do kogo rodzicielski|Wniosek o urlop rodzicielski składasz do bezpośredniego Przełożonego. Bezpośredni Przełożony po akceptacji przesyła wniosek do działu Administracji Personalnej. Do wniosku o urlop rodzicielski należy dołączyć pisemne oświadczenie pracownika o braku zamiaru korzystania z urlopu przez okres wskazany we wniosku przez drugiego z rodziców dziecka. Do wniosku należy dołączyć akt urodzenia dziecka lub jego kopię.
Do kogo wystąpić o urlop wychowawczy?|do kogo wychowawczy|Wniosek o urlop wychowawczy składasz do bezpośredniego Przełożonego. Bezpośredni Przełożony po akceptacji przesyła wniosek do działu Administracji Personalnej. Do wniosku należy dołączyć pisemne oświad. drugiego rodzica o braku zamiaru korzystania z urlopu wych. przez okres wskazany we wniosku. W przypadku gdy oboje rodzice jednocześnie korzystają z urlopu wych. należy dołączyć pisemne oświad. drugiego rodzica o okresie korzystania z urlopu wych.
kogo powiadomić starając sie o urlop wychowawczy?|do kogo wychowawczy|Wniosek o urlop wychowawczy składasz do bezpośredniego Przełożonego. Bezpośredni Przełożony po akceptacji przesyła wniosek do działu Administracji Personalnej. Do wniosku należy dołączyć pisemne oświad. drugiego rodzica o braku zamiaru korzystania z urlopu wych. przez okres wskazany we wniosku. W przypadku gdy oboje rodzice jednocześnie korzystają z urlopu wych. należy dołączyć pisemne oświad. drugiego rodzica o okresie korzystania z urlopu wych.
Do kogo zgłośić urlop wychowawczy?|do kogo wychowawczy|Wniosek o urlop wychowawczy składasz do bezpośredniego Przełożonego. Bezpośredni Przełożony po akceptacji przesyła wniosek do działu Administracji Personalnej. Do wniosku należy dołączyć pisemne oświad. drugiego rodzica o braku zamiaru korzystania z urlopu wych. przez okres wskazany we wniosku. W przypadku gdy oboje rodzice jednocześnie korzystają z urlopu wych. należy dołączyć pisemne oświad. drugiego rodzica o okresie korzystania z urlopu wych.
Do kogo mam złożyć wniosek o urlop wychowawczy?|do kogo wychowawczy|Wniosek o urlop wychowawczy składasz do bezpośredniego Przełożonego. Bezpośredni Przełożony po akceptacji przesyła wniosek do działu Administracji Personalnej. Do wniosku należy dołączyć pisemne oświad. drugiego rodzica o braku zamiaru korzystania z urlopu wych. przez okres wskazany we wniosku. W przypadku gdy oboje rodzice jednocześnie korzystają z urlopu wych. należy dołączyć pisemne oświad. drugiego rodzica o okresie korzystania z urlopu wych.
Komu oddać podanie o wychowawczy?|do kogo wychowawczy|Wniosek o urlop wychowawczy składasz do bezpośredniego Przełożonego. Bezpośredni Przełożony po akceptacji przesyła wniosek do działu Administracji Personalnej. Do wniosku należy dołączyć pisemne oświad. drugiego rodzica o braku zamiaru korzystania z urlopu wych. przez okres wskazany we wniosku. W przypadku gdy oboje rodzice jednocześnie korzystają z urlopu wych. należy dołączyć pisemne oświad. drugiego rodzica o okresie korzystania z urlopu wych.
czy mogę liczyć na dofinansowanie do studiów podyplomowych?|Dofinansowanie studiów|Tak, jeśli zdobyta wiedza jest ci potrzeba na obecnym stanowisku pracy, porozmawiaj w tym temacie ze  swoim przełożonym.
Czy firma może sfinansowac moje studia ?|Dofinansowanie studiów|Tak, jeśli zdobyta wiedza jest ci potrzeba na obecnym stanowisku pracy, porozmawiaj w tym temacie ze  swoim przełożonym.
Czy muszę poinformować Pracodawcę że mam zwolnienie elektroniczne?|Dostarczenie L4|Przepisy w sposób jednoznaczny wskazują, że pracownik ma 7 dni na dostarczenie do pracodawcy poświadczenia o chorobie. Jeśli tego nie zrobi, zasiłek zostanie obniżony o 25 proc. za okres od 8. dnia orzeczonej niezdolności do pracy do dnia dostarczenia zwolnienia, chyba że spóźnienie nastąpiło z przyczyn od niego niezależnych. Problem ten nie dotyczy zwolnień lekarskich wystawionych elektronicznie.
Do kiedy powinienem dostarczyć zwolnienie lekarskie? |Dostarczenie L4|Przepisy w sposób jednoznaczny wskazują, że pracownik ma 7 dni na dostarczenie do pracodawcy poświadczenia o chorobie. Jeśli tego nie zrobi, zasiłek zostanie obniżony o 25 proc. za okres od 8. dnia orzeczonej niezdolności do pracy do dnia dostarczenia zwolnienia, chyba że spóźnienie nastąpiło z przyczyn od niego niezależnych. Problem ten nie dotyczy zwolnień lekarskich wystawionych elektronicznie.
jestem chora, co teraz? |Dostarczenie L4|Przepisy w sposób jednoznaczny wskazują, że pracownik ma 7 dni na dostarczenie do pracodawcy poświadczenia o chorobie. Jeśli tego nie zrobi, zasiłek zostanie obniżony o 25 proc. za okres od 8. dnia orzeczonej niezdolności do pracy do dnia dostarczenia zwolnienia, chyba że spóźnienie nastąpiło z przyczyn od niego niezależnych. Problem ten nie dotyczy zwolnień lekarskich wystawionych elektronicznie.
Do kiedy muszę dostarczyć zwolnienie lekarskie? |Dostarczenie L4|Przepisy w sposób jednoznaczny wskazują, że pracownik ma 7 dni na dostarczenie do pracodawcy poświadczenia o chorobie. Jeśli tego nie zrobi, zasiłek zostanie obniżony o 25 proc. za okres od 8. dnia orzeczonej niezdolności do pracy do dnia dostarczenia zwolnienia, chyba że spóźnienie nastąpiło z przyczyn od niego niezależnych. Problem ten nie dotyczy zwolnień lekarskich wystawionych elektronicznie.
Do kiedy dostarczyć zwolnienie lekarskie? |Dostarczenie L4|Przepisy w sposób jednoznaczny wskazują, że pracownik ma 7 dni na dostarczenie do pracodawcy poświadczenia o chorobie. Jeśli tego nie zrobi, zasiłek zostanie obniżony o 25 proc. za okres od 8. dnia orzeczonej niezdolności do pracy do dnia dostarczenia zwolnienia, chyba że spóźnienie nastąpiło z przyczyn od niego niezależnych. Problem ten nie dotyczy zwolnień lekarskich wystawionych elektronicznie.
Zwolnienie lekarskie, w jakim czasie mam przynieść?|Dostarczenie L4|Przepisy w sposób jednoznaczny wskazują, że pracownik ma 7 dni na dostarczenie do pracodawcy poświadczenia o chorobie. Jeśli tego nie zrobi, zasiłek zostanie obniżony o 25 proc. za okres od 8. dnia orzeczonej niezdolności do pracy do dnia dostarczenia zwolnienia, chyba że spóźnienie nastąpiło z przyczyn od niego niezależnych. Problem ten nie dotyczy zwolnień lekarskich wystawionych elektronicznie.
